Designator,Mid X,Mid Y,Layer,Rotation
D69,99.08,-94.70,T,90.00
D70,106.68,-94.70,T,90.00
D71,114.28,-94.70,T,90.00
D72,45.88,-101.70,T,90.00
D73,53.48,-101.68,T,90.00
D74,61.10,-101.70,T,90.00
D75,68.68,-101.70,T,90.00
D76,76.28,-101.70,T,90.00
D77,83.88,-101.70,T,90.00
D78,91.48,-101.70,T,90.00
D79,99.08,-101.70,T,90.00
D80,106.68,-101.70,T,90.00
D81,114.28,-101.70,T,90.00
D82,45.88,-108.67,T,90.00
D83,53.48,-108.63,T,90.00
D84,61.08,-108.59,T,90.00
D85,68.68,-108.59,T,90.00
D86,76.28,-108.59,T,90.00
D87,83.88,-108.58,T,90.00
D88,91.48,-108.59,T,90.00
D89,99.08,-108.60,T,90.00
D90,106.68,-108.60,T,90.00
D91,114.28,-108.62,T,90.00
D93,45.88,-115.70,T,90.00
D94,53.48,-115.70,T,90.00
D95,61.08,-115.63,T,90.00
D96,68.68,-115.64,T,90.00
D97,76.28,-115.63,T,90.00
D98,83.88,-115.62,T,90.00
D99,91.48,-115.63,T,90.00
D100,99.08,-115.61,T,90.00
D101,106.68,-115.61,T,90.00
D102,114.28,-115.56,T,90.00
D103,45.88,-122.57,T,90.00
D104,53.48,-122.56,T,90.00
D105,61.08,-122.54,T,90.00
D106,68.68,-122.54,T,90.00
D107,76.28,-122.54,T,90.00
D108,83.88,-122.54,T,90.00
D109,91.48,-122.56,T,90.00
D110,99.08,-122.58,T,90.00
D111,106.68,-122.58,T,90.00
D112,114.28,-122.58,T,90.00
D113,76.28,-48.60,T,90.00
J4,35.10,-95.01,B,90.00
J5,125.00,-100.11,B,90.00
J6,125.00,-88.39,B,90.00
Q3,61.25,-55.00,T,0.00
R5,57.65,-55.00,T,0.00
R13,65.05,-55.00,T,0.00
SW2,49.98,-136.40,T,180.00
SW3,57.48,-136.40,T,180.00
SW4,102.48,-136.40,T,180.00
SW5,117.48,-136.40,T,180.00
SW7,42.48,-136.40,T,180.00
SW8,49.98,-141.90,T,180.00
SW9,109.98,-141.90,T,180.00
SW10,109.98,-136.40,T,180.00
SW11,109.98,-130.95,T,0.00
SW12,49.98,-130.90,T,180.00
